danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,added_at,name
0.693,0.468,0,-10.368,1,0.0264,0.0334,0,0.166,0.386,113.987,2bCDjVF0utbJIHpG7osTvY,182893,4,2018-07-09T02:59:38Z,Neopolitan Dreams
0.749,0.71,7,-6.63,1,0.0331,0.0163,0.0237,0.0892,0.678,120.005,0uNU2DnGjyjzqeaK3z5rSi,166213,4,2018-07-30T13:58:09Z,Bad Ideas
0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,1wjzFQodRWrPcQ0AnYnvQ9,197437,4,2018-09-24T04:40:56Z,I Like Me Better
0.717,0.847,1,-6.159,1,0.0353,0.00271,1.04e-06,0.11,0.414,114.996,4ABdTWafMCXfATpILRuZFW,179999,4,2018-08-02T17:37:37Z,IDWK
0.753,0.602,0,-6.326,1,0.149,0.052,0.000249,0.102,0.555,94.056,4v0134PgBTGsFJiGcV4eJk,180148,4,2018-07-05T03:21:37Z,Last To Leave (feat. Caroline Ailin)
0.387,0.571,7,-6.354,0,0.0402,0.493,0,0.106,0.555,152.906,6oJn6CVEELRmAMOYypSu4P,188361,5,2018-06-26T18:26:18Z,Breathe
0.794,0.476,2,-4.337,0,0.0558,0.354,0.00307,0.332,0.471,129.827,5LZQ5s0kRZS9nBSd1xLK7U,179658,4,2018-08-01T00:03:59Z,Trndsttr (feat. M. Maggie) - Lucian Remix
0.695,0.625,1,-6.162,0,0.028,0.308,5.47e-05,0.22,0.344,93.04,2Ll8pInBZeY7ELfVgNNmQa,195000,4,2018-07-10T13:28:44Z,Forever (feat. Elohim)
0.651,0.687,11,-8.34,0,0.0837,0.0263,0.0456,0.0938,0.268,150.984,6Yvs6s1lnqLGAlEedPPUdY,194000,4,2018-07-30T04:30:11Z,BACKBONE
0.633,0.592,0,-7.245,0,0.112,0.197,0,0.099,0.679,90.066,2Gl0FzuLxflY6nPifJp5Dr,193511,4,2018-02-18T19:50:42Z,First Time
0.653,0.91,10,-3.36,1,0.0566,0.0079,0,0.318,0.0921,126.047,57p8CBvPOxrvyCbn6ttl5r,234286,4,2018-04-05T06:32:41Z,Would You Ever
0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,6ZSO7kPn8IMJFymyticbJO,225882,5,2018-02-14T14:14:31Z,Gold
0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,09IStsImFySgyp0pIQdqAc,184732,4,2018-02-14T05:27:57Z,The Middle
0.69,0.857,10,-5.613,1,0.0405,0.0557,0.11,0.0341,0.409,136.99,6zpCJDhdpHPZCcFCJZDqX5,213340,4,2018-02-14T05:39:18Z,High You Are
0.781,0.802,6,-5.889,1,0.279,0.167,0,0.0683,0.192,112.913,4tH7y3blkt051mLmvdXQbC,241540,4,2018-07-03T23:53:35Z,Pearl Magnolia
0.604,0.892,11,-4.905,0,0.245,0.0253,0.849,0.0706,0.52,144.038,6iEO8dPKgXuaAwVoYojMHA,245435,4,2018-06-25T21:12:04Z,All of the Lights
0.689,0.521,0,-5.845,1,0.132,0.119,8.41e-05,0.108,0.178,95.055,3gr6q0Q8R1EjeXRAQYmX9l,229747,4,2018-03-10T00:25:58Z,All My Friends (feat. Tinashe & Chance the Rapper)
0.693,0.664,7,-5.352,1,0.0793,0.206,0,0.124,0.542,96.13,5FAK7GY5W3PUBPLkJ6R2wq,203750,4,2018-08-01T19:17:42Z,Rewind
0.863,0.811,2,-4.066,1,0.0599,0.0111,0.71,0.21,0.207,120.041,0Ywub0idamgr33HrScRjXt,207193,4,2018-06-25T21:12:11Z,Stronger
0.857,0.397,6,-13.063,0,0.0551,0.73,0.000895,0.101,0.459,100.052,5P6K7YXIDHEwFVc4pzPhlw,148200,4,2018-06-25T21:12:46Z,Onlysmokecigsontheweekend
0.653,0.708,10,-5.385,1,0.0345,0.109,0.0011,0.163,0.347,111.924,4DfxFGwreu9BquiLRClwh8,167871,4,2018-02-18T19:43:55Z,Hum With Me
0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753,6nAQE9VatYS3fjJVsVh4uX,192160,4,2018-02-14T05:58:30Z,Love$ick
0.386,0.587,10,-4.454,1,0.0519,0.0363,3.71e-06,0.332,0.0565,96.072,3nAq2hCr1oWsIU54tS98pL,181573,4,2018-04-05T06:20:11Z,Waves
